""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"1305"	"AT3G30775.1"	"At3g30775"	"putative proline dehydrogenase (AtPOX1/AtProDH1/AtERD5/AtPDH)"	"soluble or peripheral protein"	"0"
"1306"	"AT3G32036.1"	"At3g32036"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1307"	"AT3G32896.1"	"At3g32896"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1308"	"AT3G32920.1"	"At3g32920"	"putative multifunctional RecA-like protein, involved in DNA repair and...(AtRecA4)"	"soluble or peripheral protein"	"0"
"1309"	"AT3G33187.1"	"At3g33187"	"putative defensin-like protein"	"soluble or peripheral protein"	"0"
"1310"	"AT3G33494.1"	"At3g33494"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1311"	"AT3G42060.1"	"At3g42060"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1312"	"AT3G42390.1"	"At3g42390"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1313"	"AT3G43410.1"	"At3g43410"	"putative mitochondrial respiratory chain complex IV subunit (AtCoxX5)"	"soluble or peripheral protein"	"0"
"1314"	"AT3G43580.1"	"At3g43580"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1315"	"AT3G43900.1"	"At3g43900"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1316"	"AT3G44006.1"	"At3g44006"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1317"	"AT3G44370.1"	"At3g44370"	"factor for promoting protein insertion into membranes (AtOxa2b)"	"membrane protein"	"5"
"1318"	"AT3G44430.1"	"At3g44430"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1319"	"AT3G44510.1"	"At3g44510"	"putative alpha/beta-fold-type hydrolase"	"membrane protein"	"2"
"1320"	"AT3G44580.1"	"At3g44580"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1321"	"AT3G44770.1"	"At3g44770"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1322"	"AT3G45020.1"	"At3g45020"	"putative ribosomal-uL18-like protein (AtU18-L7)"	"soluble or peripheral protein"	"0"
"1323"	"AT3G45300.1"	"At3g45300"	"putative isovaleryl-CoA dehydrogenase (AtIVDH)"	"soluble or peripheral protein"	"0"
"1324"	"AT3G45500.1"	"At3g45500"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1325"	"AT3G45577.1"	"At3g45577"	"hypothetical protein deduced from putative pseudogene (AtpsSEN1)"	"soluble or peripheral protein"	"0"
"1326"	"AT3G45673.1"	"At3g45673"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1327"	"AT3G45740.1"	"At3g45740"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1328"	"AT3G45770.1"	"At3g45770"	"putative mitochondrial enoyl-ACP reductase (AtmtER)"	"soluble or peripheral protein"	"0"
"1329"	"AT3G45800.1"	"At3g45800"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1330"	"AT3G46020.1"	"At3g46020"	"protein of unknown function, contains RNA binding domain"	"soluble or peripheral protein"	"0"
"1331"	"AT3G46100.1"	"At3g46100"	"putative histidyl-tRNA synthetase (AtHisRS)"	"soluble or peripheral protein"	"0"
"1332"	"AT3G46390.1"	"At3g46390"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1333"	"AT3G46430.1"	"At3g46430"	"6-kDa subunit of mitochondrial ATP synthase membrane MF0 subcomplex (AtMtATP6)"	"soluble or peripheral protein"	"0"
"1334"	"AT3G46540.1"	"At3g46540"	"putative epsin-type protein"	"soluble or peripheral protein"	"0"
"1335"	"AT3G46560.1"	"At3g46560"	"mitochondrial inner membrane translocase component (AtTIM9)"	"membrane protein"	"0"
"1336"	"AT3G46760.1"	"At3g46760"	"putative atypical L-type lectin receptor protein kinase (AtLecRK-S.3)"	"soluble or peripheral protein"	"0"
"1337"	"AT3G46870.1"	"At3g46870"	"putative PLS-class PPR domain protein involved in RNA editing (AtTHA8L)"	"soluble or peripheral protein"	"0"
"1338"	"AT3G46950.1"	"At3g46950"	"putative mTERF-type protein of unknown function (AtmTERF33)"	"soluble or peripheral protein"	"0"
"1339"	"AT3G47030.1"	"At3g47030"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1340"	"AT3G47130.1"	"At3g47130"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1341"	"AT3G47630.1"	"At3g47630"	"putative Mmp37-like protein involved in mitochondrial protein import"	"soluble or peripheral protein"	"0"
"1342"	"AT3G47833.1"	"At3g47833"	"putative SDH7-type component of succinate dehydrogenase complex (AtSDH7-1)"	"soluble or peripheral protein"	"0"
"1343"	"AT3G47840.1"	"At3g47840"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1344"	"AT3G47930.1"	"At3g47930"	"putative L-galactono-1,4-lactone dehydrogenase (AtGLDH)"	"membrane protein"	"2"
"1345"	"AT3G48000.1"	"At3g48000"	"putative aldehyde dehydrogenase (AtALDH2a/AtALDH2B4)"	"soluble or peripheral protein"	"0"
"1346"	"AT3G48010.1"	"At3g48010"	"putative Plant-CNGC cyclic nucleotide-gated ion channel (AtCNGC16)"	"membrane protein"	"6"
"1347"	"AT3G48030.1"	"At3g48030"	"putative hypoxia-responsive ATL-RING-H2 E3 ubiquitin protein ligase (AtHIGD1/AtATL48)"	"membrane protein"	"3"
"1348"	"AT3G48250.1"	"At3g48250"	"protein involved in splicing of mitochondrial nad7 transcript (AtBIR6)"	"soluble or peripheral protein"	"0"
"1349"	"AT3G48680.1"	"At3g48680"	"putative plant-specific component CAL of carbonic anhydrase module of NADH...(AtCAL2)"	"soluble or peripheral protein"	"0"
"1350"	"AT3G48810.1"	"At3g48810"	"putative mitochondrial intron splicing factor (AtOTP439)"	"soluble or peripheral protein"	"0"
"1351"	"AT3G48850.1"	"At3g48850"	"phosphate transporter (AtPHT3;2/AtMPT2)"	"membrane protein"	"6"
"1352"	"AT3G49080.1"	"At3g49080"	"putative component uS9M of small subunit of mitochondrial ribosome (AtmtRPS9)"	"soluble or peripheral protein"	"0"
"1353"	"AT3G49142.1"	"At3g49142"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1354"	"AT3G49240.1"	"At3g49240"	"putative plastid and mitochondrion dually targeted mRNA editing factor (AtNUWA)"	"soluble or peripheral protein"	"0"
"1355"	"AT3G49320.1"	"At3g49320"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1356"	"AT3G49620.1"	"At3g49620"	"putative DOXC-class 2-oxoglutarate-dependent dioxygenase (AtDIN11)"	"soluble or peripheral protein"	"0"
"1357"	"AT3G49730.1"	"At3g49730"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1358"	"AT3G49740.1"	"At3g49740"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1359"	"AT3G49880.1"	"At3g49880"	"putative exo-beta-1,3-galactosidase (AtGH43b)"	"membrane protein"	"2"
"1360"	"AT3G49920.1"	"At3g49920"	"voltage-dependent anion channel (AtVDAC5)"	"membrane protein"	"Beta-barrel"
"1361"	"AT3G50150.1"	"At3g50150"	"protein of unknown function"	"membrane protein"	"1"
"1362"	"AT3G50160.1"	"At3g50160"	"protein of unknown function"	"membrane protein"	"2"
"1363"	"AT3G50340.1"	"At3g50340"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1364"	"AT3G50380.1"	"At3g50380"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1365"	"AT3G50560.1"	"At3g50560"	"putative NAD- or NADP-dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"1366"	"AT3G50930.1"	"At3g50930"	"putative mitochondrial outer membrane AAA-type ATPase (AtOM66/AtBSC1)"	"soluble or peripheral protein"	"0"
"1367"	"AT3G50940.1"	"At3g50940"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1368"	"AT3G51010.1"	"At3g51010"	"putative component mL105 of large subunit of mitochondrial ribosome (AtmL105)"	"soluble or peripheral protein"	"0"
"1369"	"AT3G51020.1"	"At3g51020"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1370"	"AT3G51057.1"	"At3g51057"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1371"	"AT3G51070.1"	"At3g51070"	"putative pectin methyltransferase (AtPMT27)"	"membrane protein"	"2"
"1372"	"AT3G51090.1"	"At3g51090"	"putative modulator of mitochondrial MCU channel activity (AtMCUR2)"	"membrane protein"	"1"
"1373"	"AT3G51320.1"	"At3g51320"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1374"	"AT3G51380.1"	"At3g51380"	"putative scaffold protein for cellular signalling and trafficking (AtIQD20)"	"soluble or peripheral protein"	"0"
"1375"	"AT3G51632.1"	"At3g51632"	"hypothetical peptide of unknown function"	"soluble or peripheral protein"	"0"
"1376"	"AT3G51790.1"	"At3g51790"	"heme chaperone cytochrome c maturation protein (AtCcmE)"	"membrane protein"	"1"
"1377"	"AT3G51830.1"	"At3g51830"	"putative phosphoinositide 5-phosphatase (AtSAC8/AtSAC1a)"	"membrane protein"	"3"
"1378"	"AT3G52050.1"	"At3g52050"	"putative mitochondrial RNA exonuclease"	"soluble or peripheral protein"	"0"
"1379"	"AT3G52200.1"	"At3g52200"	"putative E2 dihydrolipoyl acetyltransferase component of pyruvate...(AtmtPDC-E2.1/AtLTA3)"	"soluble or peripheral protein"	"0"
"1380"	"AT3G52300.1"	"At3g52300"	"d-type subunit of mitochondrial ATP synthase membrane MF0 subcomplex (AtmtATP-d)"	"soluble or peripheral protein"	"0"
"1381"	"AT3G52330.1"	"At3g52330"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1382"	"AT3G52510.1"	"At3g52510"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1383"	"AT3G52530.1"	"At3g52530"	"putative RLCK-XII-2-type Brassicaceae-specific atypical protein kinase (AtZRK11)"	"soluble or peripheral protein"	"0"
"1384"	"AT3G52570.1"	"At3g52570"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"1385"	"AT3G52730.1"	"At3g52730"	"putative 8.4 kDa protein component of cytochrome bc1 complex (AtQCR9)"	"membrane protein"	"1"
"1386"	"AT3G52905.1"	"At3g52905"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1387"	"AT3G52950.1"	"At3g52950"	"protein of unknown function, contains PB1-type signalling protein domain"	"membrane protein"	"1"
"1388"	"AT3G53360.1"	"At3g53360"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1389"	"AT3G53400.1"	"At3g53400"	"putative methyltransferase"	"membrane protein"	"2"
"1390"	"AT3G53402.1"	"At3g53402"	"hypothetical peptide of unknown function"	"soluble or peripheral protein"	"0"
"1391"	"AT3G53440.1"	"At3g53440"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1392"	"AT3G53770.1"	"At3g53770"	"putative LEA class-6/group-LEA_3 protein of unknown function (AtLEA6-4/AtLEA3.4)"	"soluble or peripheral protein"	"0"
"1393"	"AT3G53910.1"	"At3g53910"	"putative oxidoreductase"	"soluble or peripheral protein"	"0"
"1394"	"AT3G53930.1"	"At3g53930"	"putative component of ATG1/ATG13 autophagy-related kinase complex (AtATG1b)"	"soluble or peripheral protein"	"0"
"1395"	"AT3G53970.1"	"At3g53970"	"putative (human PI31)-like modulator of 26S proteasome activity (AtPTRE1)"	"soluble or peripheral protein"	"0"
"1396"	"AT3G54110.1"	"At3g54110"	"putative MtcC PUMP-type proton gradient uncoupling protein (AtPUMP1/AtUCP1)"	"membrane protein"	"6"
"1397"	"AT3G54190.1"	"At3g54190"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1398"	"AT3G54380.1"	"At3g54380"	"putative component of TREX-2 nuclear mRNA export complex (AtSAC3c)"	"soluble or peripheral protein"	"0"
"1399"	"AT3G54410.1"	"At3g54410"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1400"	"AT3G54630.1"	"At3g54630"	"putative component of outer kinetochore NDC80 complex (AtNDC80)"	"soluble or peripheral protein"	"0"
"1401"	"AT3G54826.1"	"At3g54826"	"putative (yeast ZIM17)-like factor for protein import into mitochondrial matrix"	"soluble or peripheral protein"	"0"
"1402"	"AT3G54950.1"	"At3g54950"	"putative patatin-type phospholipase (AtpPLA2-III-beta)"	"soluble or peripheral protein"	"0"
"1403"	"AT3G54980.1"	"At3g54980"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1404"	"AT3G55410.1"	"At3g55410"	"putative E1 alpha subunit of branched-chain alpha-keto acid dehydrogenase complex"	"soluble or peripheral protein"	"0"
"1405"	"AT3G55515.1"	"At3g55515"	"putative precursor of DVL/ROT regulatory peptide (AtDVL8/AtRTFL7)"	"soluble or peripheral protein"	"0"
"1406"	"AT3G55573.1"	"At3g55573"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1407"	"AT3G55590.1"	"At3g55590"	"putative GDP-mannose pyrophosphorylase (AtGMP2)"	"soluble or peripheral protein"	"0"
"1408"	"AT3G55605.1"	"At3g55605"	"putative (yeast MAM33)-like mitochondrial protein of unknown function"	"soluble or peripheral protein"	"0"
"1409"	"AT3G55630.1"	"At3g55630"	"putative folylpolyglutamate synthetase (AtFPGS3/AtDFd)"	"soluble or peripheral protein"	"0"
"1410"	"AT3G55640.1"	"At3g55640"	"putative MtcC-type unspecified transporter"	"membrane protein"	"6"
"1411"	"AT3G55810.1"	"At3g55810"	"putative subunit of pyruvate kinase"	"soluble or peripheral protein"	"0"
"1412"	"AT3G56030.1"	"At3g56030"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"1413"	"AT3G56070.1"	"At3g56070"	"putative Cyclophilin-type protein folding catalyst (AtCYP19-3/AtROC2)"	"soluble or peripheral protein"	"0"
"1414"	"AT3G56170.1"	"At3g56170"	"putative Ca2+-dependent SNase-type ssDNA/dsDNA endonuclease (AtCaN1)"	"soluble or peripheral protein"	"0"
"1415"	"AT3G56210.1"	"At3g56210"	"protein of unknown function"	"membrane protein"	"1"
"1416"	"AT3G56410.1"	"At3g56410"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1417"	"AT3G56420.1"	"At3g56420"	"putative H-type thioredoxin (AtTRX-H10)"	"soluble or peripheral protein"	"0"
"1418"	"AT3G56430.1"	"At3g56430"	"putative TIM21-like protein of unknown function (AtTim21-L2)"	"membrane protein"	"2"
"1419"	"AT3G56550.1"	"At3g56550"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1420"	"AT3G56590.1"	"At3g56590"	"putative membrane protein of unknown function"	"membrane protein"	"3"
"1421"	"AT3G56840.1"	"At3g56840"	"putative FAD dependent oxidoreductase"	"soluble or peripheral protein"	"0"
"1422"	"AT3G57090.1"	"At3g57090"	"organelle fission mediator, BIGYIN (AtFIS1A)"	"membrane protein"	"1"
"1423"	"AT3G57160.1"	"At3g57160"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1424"	"AT3G57190.1"	"At3g57190"	"putative PrfB-type ribosome peptide release factor (AtPrfB3)"	"soluble or peripheral protein"	"0"
"1425"	"AT3G57210.1"	"At3g57210"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1426"	"AT3G57370.1"	"At3g57370"	"putative BRP-type basal transcription factor (AtBRP4)"	"soluble or peripheral protein"	"0"
"1427"	"AT3G57640.1"	"At3g57640"	"putative RLCK-XII-2-type Brassicaceae-specific atypical protein kinase (AtZRK15)"	"soluble or peripheral protein"	"0"
"1428"	"AT3G57785.1"	"At3g57785"	"putative component ESSS/NDUFB11 of NADH dehydrogenase beta subcomplex (AtESSS-2)"	"membrane protein"	"1"
"1429"	"AT3G57810.1"	"At3g57810"	"putative OTU-type deubiquinating protease (AtOTU4)"	"soluble or peripheral protein"	"0"
"1430"	"AT3G58020.1"	"At3g58020"	"putative Hsp40/DnaJ molecular chaperone (AtDjC71)"	"soluble or peripheral protein"	"0"
"1431"	"AT3G58150.1"	"At3g58150"	"putative OPA3-type protein of unknown function"	"membrane protein"	"2"
"1432"	"AT3G58350.1"	"At3g58350"	"protein of unknown function, RESTRICTED TEV MOVEMENT (AtRTM3)"	"soluble or peripheral protein"	"0"
"1433"	"AT3G58520.1"	"At3g58520"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"1434"	"AT3G58540.1"	"At3g58540"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1435"	"AT3G58840.1"	"At3g58840"	"protein involved in peroxisomal and mitochondrial proliferation (AtPMD1)"	"membrane protein"	"1"
"1436"	"AT3G58970.1"	"At3g58970"	"putative magnesium cation transporter (AtMRS2-4/AtMGT6)"	"membrane protein"	"2"
"1437"	"AT3G59280.1"	"At3g59280"	"putative DnaJ-chaperone-like protein involved in mitochondrial...(AtPAM16/AtTXR1/AtDnaJD2)"	"membrane protein"	"0"
"1438"	"AT3G59460.1"	"At3g59460"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1439"	"AT3G59650.1"	"At3g59650"	"putative component mL43 of large subunit of mitochondrial ribosome (AtmL43)"	"soluble or peripheral protein"	"0"
"1440"	"AT3G59760.1"	"At3g59760"	"mitochondrial O-acetylserine(thiol)lyase (AtOAS-C/AtOASTL-C)"	"soluble or peripheral protein"	"0"
"1441"	"AT3G59820.1"	"At3g59820"	"putative mitochondrial ribosome docking factor (AtLETM1/AtMdm38-1)"	"membrane protein"	"2"
"1442"	"AT3G59830.1"	"At3g59830"	"putative kinase involved in calcium-dependent/integrin-like-receptor...(AtILK2/AtRAF46)"	"soluble or peripheral protein"	"0"
"1443"	"AT3G60050.1"	"At3g60050"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1444"	"AT3G60100.1"	"At3g60100"	"citrate synthase (AtCSY5)"	"soluble or peripheral protein"	"0"
"1445"	"AT3G60150.1"	"At3g60150"	"putative (animal NDUFAF3)-like NADH:ubiquinone oxidoreductase complex assembly factor"	"soluble or peripheral protein"	"0"
"1446"	"AT3G60400.1"	"At3g60400"	"putative mitochondrial mtDNA-binding protein involved in nucleoid...(AtmTERF18/AtSHOT1)"	"soluble or peripheral protein"	"0"
"1447"	"AT3G60480.1"	"At3g60480"	"protein of unknown function"	"membrane protein"	"2"
"1448"	"AT3G60510.1"	"At3g60510"	"putative enoyl-CoA hydratase-like protein"	"soluble or peripheral protein"	"0"
"1449"	"AT3G60690.1"	"At3g60690"	"putative SAUR-type hormone signal effector (AtSAUR59)"	"soluble or peripheral protein"	"0"
"1450"	"AT3G60780.1"	"At3g60780"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1451"	"AT3G60810.1"	"At3g60810"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1452"	"AT3G60940.1"	"At3g60940"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1453"	"AT3G60950.1"	"At3g60950"	"putative NTMC2T4 synaptogamin membrane contact site protein"	"membrane protein"	"2"
"1454"	"AT3G60960.1"	"At3g60960"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"soluble or peripheral protein"	"0"
"1455"	"AT3G60980.1"	"At3g60980"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"soluble or peripheral protein"	"0"
"1456"	"AT3G61010.1"	"At3g61010"	"putative FERRITIN iron storage protein"	"soluble or peripheral protein"	"0"
"1457"	"AT3G61028.1"	"At3g61028"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1458"	"AT3G61030.1"	"At3g61030"	"putative NTMC2T4 synaptogamin membrane contact site protein"	"membrane protein"	"1"
"1459"	"AT3G61170.1"	"At3g61170"	"putative mitochondrial RNA editing factor (AtMEF100)"	"soluble or peripheral protein"	"0"
"1460"	"AT3G61360.1"	"At3g61360"	"putative mitochondrial intron splicing factor, SLOW GROWTH (AtSLO3)"	"soluble or peripheral protein"	"0"
"1461"	"AT3G61440.1"	"At3g61440"	"beta-cyanoalanine synthase (AtCYS-C1)"	"soluble or peripheral protein"	"0"
